date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:03:28	114634/114634	---M-Z	200	added ('OK')	text/html	etag:W/%224d8b3634bcd18bbafdbd07fb8974a5d6--gzip%22	https://www.sushicatmeme.com/	C:/Users/petro/Desktop/asdasd/www.sushicatmeme.com/index.html	(from )
22:03:28	367/367	---M-Z	200	added ('OK')	text/plain	date:Sun,%2012%20May%202024%2019:03:28%20GMT	https://www.sushicatmeme.com/robots.txt		(from )
22:03:28	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/Users/petro/Desktop/asdasd/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.sushicatmeme.com/)
22:03:31	44584/44584	---M-Z	200	added ('OK')	text/javascript	etag:%22775fcf9fd7bf16fa61deaf91db57d73b%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-5f69a873fdb8713dfc60-min.en-US.js	C:/Users/petro/Desktop/asdasd/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-5f69a873fdb8713dfc60-min.en-US.js	(from https://www.sushicatmeme.com/)
22:03:32	90266/90266	---M-Z	200	added ('OK')	text/javascript	etag:%2239aababd86f4bd0ebdd34b5af5914307%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-e94539391642d3b99900-min.en-US.js	C:/Users/petro/Desktop/asdasd/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-e94539391642d3b99900-min.en-US.js	(from https://www.sushicatmeme.com/)
22:03:34	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/Users/petro/Desktop/asdasd/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.sushicatmeme.com/)
22:03:45	246078/246078	---M-Z	200	added ('OK')	text/javascript	etag:%221964721492d4086859298fdc44c24af7%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-4a7e52840bc34052dfdc-min.en-US.js	C:/Users/petro/Desktop/asdasd/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-4a7e52840bc34052dfdc-min.en-US.js	(from https://www.sushicatmeme.com/)
22:03:49	1196455/1196455	---M-Z	200	added ('OK')	text/javascript	etag:%22fbe43b1f7f944c9fde759ab090f61c42%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6f117db4eb7fd4392375-min.en-US.js	C:/Users/petro/Desktop/asdasd/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6f117db4eb7fd4392375-min.en-US.js	(from https://www.sushicatmeme.com/)
22:03:50	2356/2356	---M-Z	200	added ('OK')	text/css	etag:%22cb9faef3dce4d315747233ff3c671636%22	http://assets.squarespace.com/universal/styles-compressed/user-account-core-e84acd73aa5ee3fcd4ad-min.en-US.css	C:/Users/petro/Desktop/asdasd/assets.squarespace.com/universal/styles-compressed/user-account-core-e84acd73aa5ee3fcd4ad-min.en-US.css	(from https://www.sushicatmeme.com/)
22:03:52	41267/41267	---M-Z	200	added ('OK')	text/javascript	etag:%2211ba0c06cde40a2c188848f5b3606957%22	http://assets.squarespace.com/universal/scripts-compressed/performance-3445932759109c18fa78-min.en-US.js	C:/Users/petro/Desktop/asdasd/assets.squarespace.com/universal/scripts-compressed/performance-3445932759109c18fa78-min.en-US.js	(from https://www.sushicatmeme.com/)
22:03:58	1284168/1284168	---M-Z	200	added ('OK')	text/css	date:Sun,%2012%20May%202024%2019:03:53%20GMT	https://static1.squarespace.com/static/versioned-site-css/66381133cba4d75ef915bc6e/10/5c5a519771c10ba3470d8101/66381133cba4d75ef915bc75/1523/site.css	C:/Users/petro/Desktop/asdasd/static1.squarespace.com/static/versioned-site-css/66381133cba4d75ef915bc6e/10/5c5a519771c10ba3470d8101/66381133cba4d75ef915bc75/1523/site.css	(from https://www.sushicatmeme.com/)
22:03:58	204195/204195	---M-Z	200	added ('OK')	text/css	date:Sun,%2012%20May%202024%2019:03:59%20GMT	https://static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/versioned-assets/1715197027547-1FGVIYTO5FID3JQL1XAN/static.css	C:/Users/petro/Desktop/asdasd/static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/versioned-assets/1715197027547-1FGVIYTO5FID3JQL1XAN/static.css	(from https://www.sushicatmeme.com/)
22:04:02	226525/226525	---M-Z	200	added ('OK')	text/javascript	etag:%223d2ba033c86610a835d920e39681c72a%22	http://assets.squarespace.com/universal/scripts-compressed/user-account-core-5a15dd982a9388107c5c-min.en-US.js	C:/Users/petro/Desktop/asdasd/assets.squarespace.com/universal/scripts-compressed/user-account-core-5a15dd982a9388107c5c-min.en-US.js	(from https://www.sushicatmeme.com/)
22:04:02	57261/57261	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20May%202024%2019:04:00%20GMT	https://www.sushicatmeme.com/cart	C:/Users/petro/Desktop/asdasd/www.sushicatmeme.com/cart.html	(from https://www.sushicatmeme.com/)
22:04:04	78311/78311	---M-Z	200	added ('OK')	text/html	etag:W/%22a187a73a64ad998b51eb819030055d85--gzip%22	https://www.sushicatmeme.com/about	C:/Users/petro/Desktop/asdasd/www.sushicatmeme.com/about.html	(from https://www.sushicatmeme.com/)
22:04:09	691737/691737	---M-Z	200	added ('OK')	text/javascript	etag:%22a838a24a8914e1dd9d20ebbf13ea9f02%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-97fc20d3b1d7a657378b-min.en-US.js	C:/Users/petro/Desktop/asdasd/assets.squarespace.com/universal/scripts-compressed/common-vendors-97fc20d3b1d7a657378b-min.en-US.js	(from https://www.sushicatmeme.com/)
22:04:11	40116/40116	---M--	200	added ('OK')	image/jpeg	etag:CMnv/LzZ94UDEAE=	https://images.squarespace-cdn.com/content/v1/66381133cba4d75ef915bc6e/4562f153-53c2-481a-9471-191992256f91/image_123650291+(2).jpg	C:/Users/petro/Desktop/asdasd/images.squarespace-cdn.com/content/v1/66381133cba4d75ef915bc6e/4562f153-53c2-481a-9471-191992256f91/image_123650291+(2).jpg	(from https://www.sushicatmeme.com/)
22:04:14	22266/22266	---M--	200	added ('OK')	image/jpeg	etag:CIvGiZHZ94UDEAE=	https://images.squarespace-cdn.com/content/v1/66381133cba4d75ef915bc6e/5d694051-752b-41f0-83b0-f939fca0f1dd/telegram-logo-telegram-logo-transparent-telegram-icon-transparent-free-free-png.jpg	C:/Users/petro/Desktop/asdasd/images.squarespace-cdn.com/content/v1/66381133cba4d75ef915bc6e/5d694051-752b-41f0-83b0-f939fca0f1dd/telegram-logo-telegram-logo-transparent-telegram-icon-transparent-free-free-png.jpg	(from https://www.sushicatmeme.com/)
22:04:14	12012/12012	---M--	200	added ('OK')	image/jpeg	etag:COfNoqDX94UDEAE=	https://images.squarespace-cdn.com/content/v1/66381133cba4d75ef915bc6e/c568762d-10fc-4d23-b99c-a9ab74a23d3d/OIP+(1).jpg	C:/Users/petro/Desktop/asdasd/images.squarespace-cdn.com/content/v1/66381133cba4d75ef915bc6e/c568762d-10fc-4d23-b99c-a9ab74a23d3d/OIP+(1).jpg	(from https://www.sushicatmeme.com/)
22:04:22	44077/44077	---M--	200	added ('OK')	image/jpeg	etag:CM+kqvvY94UDEAE=	https://images.squarespace-cdn.com/content/v1/66381133cba4d75ef915bc6e/764a5385-d6f9-4217-8114-d29d0809e082/1658588720instagram-logo-black-and-white.jpg	C:/Users/petro/Desktop/asdasd/images.squarespace-cdn.com/content/v1/66381133cba4d75ef915bc6e/764a5385-d6f9-4217-8114-d29d0809e082/1658588720instagram-logo-black-and-white.jpg	(from https://www.sushicatmeme.com/)
22:04:24	180684/180684	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2012%20May%202024%2019:04:16%20GMT	https://static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/scripts/site-bundle.d000490d56799ef0c7f535a69682ca3c.js	C:/Users/petro/Desktop/asdasd/static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/scripts/site-bundle.d000490d56799ef0c7f535a69682ca3c.js	(from https://www.sushicatmeme.com/)
22:04:27	194786/194786	---M--	200	added ('OK')	image/jpeg	etag:CIeM6cLc94UDEAE=	https://images.squarespace-cdn.com/content/v1/66381133cba4d75ef915bc6e/52ed3802-82d5-4bed-84f2-54a68645347d/image_123650291+(3).JPG	C:/Users/petro/Desktop/asdasd/images.squarespace-cdn.com/content/v1/66381133cba4d75ef915bc6e/52ed3802-82d5-4bed-84f2-54a68645347d/image_123650291+(3).jpg	(from https://www.sushicatmeme.com/)
22:04:32	1640685/1640685	---M-Z	200	added ('OK')	text/javascript	etag:%22359feabf7747f16bcddecf4a745419a4%22	http://assets.squarespace.com/universal/scripts-compressed/common-52ddc2017433136d93b8-min.en-US.js	C:/Users/petro/Desktop/asdasd/assets.squarespace.com/universal/scripts-compressed/common-52ddc2017433136d93b8-min.en-US.js	(from https://www.sushicatmeme.com/)
22:04:33	1262/1262	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:27:58%20GMT	http://assets.squarespace.com/universal/images-v6/damask/error-dark.png	C:/Users/petro/Desktop/asdasd/assets.squarespace.com/universal/images-v6/damask/error-dark.png	(from https://static1.squarespace.com/static/versioned-site-css/66381133cba4d75ef915bc6e/10/5c5a519771c10ba3470d8101/66381133cba4d75ef915bc75/1523/site.css)
22:04:33	1676/1676	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:04%20GMT	http://assets.squarespace.com/universal/images-v6/damask/error-dark@2x.png	C:/Users/petro/Desktop/asdasd/assets.squarespace.com/universal/images-v6/damask/error-dark@2x.png	(from https://static1.squarespace.com/static/versioned-site-css/66381133cba4d75ef915bc6e/10/5c5a519771c10ba3470d8101/66381133cba4d75ef915bc75/1523/site.css)
22:04:33	1219/1219	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:01%20GMT	http://assets.squarespace.com/universal/images-v6/damask/play-button.png	C:/Users/petro/Desktop/asdasd/assets.squarespace.com/universal/images-v6/damask/play-button.png	(from https://static1.squarespace.com/static/versioned-site-css/66381133cba4d75ef915bc6e/10/5c5a519771c10ba3470d8101/66381133cba4d75ef915bc75/1523/site.css)
